date,NO2,NO2_norm
2025-09-01,0.0003248357076505,0.5437909048742606
2025-09-02,0.0003000589017026,0.46880643050191184
2025-09-03,0.0003462947273928,0.608734437923104
2025-09-04,0.0003969322761164,0.7619838108458138
2025-09-05,0.0003158424580636,0.516573752889818
2025-09-06,0.0003224785370071,0.5366571685051359
2025-09-07,0.0004196149046799,0.8306304711051614
2025-09-08,0.0003852970166121,0.7267708855014251
2025-09-09,0.0003294941935033,0.5578893368423586
2025-09-10,0.0003858807547506,0.7285375093987326
2025-09-11,0.0003410807602264,0.5929548984542433
2025-09-12,0.0003461513391031,0.6083004878991617
2025-09-13,0.0003863841709376,0.7300610471078347
2025-09-14,0.000283108728208,0.41750846042920264
2025-09-15,0.0002966301478802,0.45842965701200056
2025-09-16,0.0003584616074871,0.6455562587236096
2025-09-17,0.0003392130102613,0.5873023438155828
2025-09-18,0.000408408196383,0.7967145122501617
2025-09-19,0.0003496847422745,0.618993971962852
2025-09-20,0.0003263980974956,0.5485193182761281
2025-09-21,0.0004717508974591,0.9884147320244033
2025-09-22,0.0003881555780881,0.7354220300512767
2025-09-23,0.00040331274526,0.7812936494903865
2025-09-24,0.0003287044811785,0.5554993530928385
2025-09-25,0.0003722418962388,0.687260896154206
2025-09-26,0.000404042230757,0.7835013628925828
2025-09-27,0.0003395021143218,0.5881772877474635
2025-09-28,0.0004139200385406,0.8133955399774672
2025-09-29,0.0003627235283587,0.6584545272512589
2025-09-30,0.0003753396631863,0.6966359716491978
2025-10-01,0.0003565702493941,0.6398322564954083
2025-10-02,0.0004755789690551,0.9999999999999999
2025-10-03,0.0003781958905366,0.7052800522058494
2025-10-04,0.0003215070362353,0.5337170205748928
2025-10-05,0.000410679593247,0.8035886630303787
2025-10-06,0.0003033314213964,0.4787103773475524
2025-10-07,0.000369324735947,0.6784324082691867
2025-10-08,0.0002551194279465,0.3328016998979364
2025-10-09,0.0002806565596212,0.41008722248028273
2025-10-10,0.0003506427839739,0.6218933873841682
2025-10-11,0.0003712583405544,0.684284265261356
2025-10-12,0.0003362716077558,0.5784004893450666
2025-10-13,0.0003151541312987,0.5144906021894824
2025-10-14,0.0002990128149676,0.465640555766613
2025-10-15,0.0002332048861228,0.2664795757623081
2025-10-16,0.0002641670548719,0.36018341934736076
2025-10-17,0.0002701548312558,0.3783048134346386
2025-10-18,0.0003391035453665,0.5869710594839356
2025-10-19,0.0002965559460159,0.45820509264306286
2025-10-20,0.0001844510022107,0.11893092213654965
2025-10-21,0.0002821685270279,0.4146630375186666
2025-10-22,0.0002402371834717,0.2877621059417891
2025-10-23,0.0002193693207698,0.22460764933964839
2025-10-24,0.0002777510573379,0.40129401636812134
2025-10-25,0.0002929261762077,0.44721996478869686
2025-10-26,0.0002824344830937,0.41546792640717334
2025-10-27,0.0001887159940495,0.1318384846329932
2025-10-28,0.0002103600376018,0.19734197335846382
2025-10-29,0.0002378886422723,0.2806544857041716
2025-10-30,0.0002659904473927,0.3657017307081618
2025-10-31,0.0001895451198187,0.13434774914928171
2025-11-01,0.0002009324972068,0.16881048456892211
2025-11-02,0.0001520472897749,0.02086439371394061
2025-11-03,0.0001451531555078,0.0
2025-11-04,0.0002436517652663,0.29809598923602276
2025-11-05,0.0002693714344436,0.3759339429394136
2025-11-06,0.0001969719924062,0.15682442101631444
2025-11-07,0.0002502461188256,0.31805312723473433
2025-11-08,0.0002181346088066,0.22087091960311633
2025-11-09,0.0001682665927393,0.06995045872283623
2025-11-10,0.0002195462865851,0.2251432183177503
2025-11-11,0.000279811770676,0.4075305549604822
