NO2_norm(t-3),NO2_norm(t-2),NO2_norm(t-1),NO2_norm(t)
0.5437909048742606,0.4688064305019118,0.608734437923104,0.7619838108458138
0.4688064305019118,0.608734437923104,0.7619838108458138,0.516573752889818
0.608734437923104,0.7619838108458138,0.516573752889818,0.5366571685051359
0.7619838108458138,0.516573752889818,0.5366571685051359,0.8306304711051614
0.516573752889818,0.5366571685051359,0.8306304711051614,0.7267708855014251
0.5366571685051359,0.8306304711051614,0.7267708855014251,0.5578893368423586
0.8306304711051614,0.7267708855014251,0.5578893368423586,0.7285375093987326
0.7267708855014251,0.5578893368423586,0.7285375093987326,0.5929548984542433
0.5578893368423586,0.7285375093987326,0.5929548984542433,0.6083004878991617
0.7285375093987326,0.5929548984542433,0.6083004878991617,0.7300610471078347
0.5929548984542433,0.6083004878991617,0.7300610471078347,0.4175084604292026
0.6083004878991617,0.7300610471078347,0.4175084604292026,0.4584296570120005
0.7300610471078347,0.4175084604292026,0.4584296570120005,0.6455562587236096
0.4175084604292026,0.4584296570120005,0.6455562587236096,0.5873023438155828
0.4584296570120005,0.6455562587236096,0.5873023438155828,0.7967145122501617
0.6455562587236096,0.5873023438155828,0.7967145122501617,0.618993971962852
0.5873023438155828,0.7967145122501617,0.618993971962852,0.5485193182761281
0.7967145122501617,0.618993971962852,0.5485193182761281,0.9884147320244032
0.618993971962852,0.5485193182761281,0.9884147320244032,0.7354220300512767
0.5485193182761281,0.9884147320244032,0.7354220300512767,0.7812936494903865
0.9884147320244032,0.7354220300512767,0.7812936494903865,0.5554993530928385
0.7354220300512767,0.7812936494903865,0.5554993530928385,0.687260896154206
0.7812936494903865,0.5554993530928385,0.687260896154206,0.7835013628925828
0.5554993530928385,0.687260896154206,0.7835013628925828,0.5881772877474635
0.687260896154206,0.7835013628925828,0.5881772877474635,0.8133955399774672
0.7835013628925828,0.5881772877474635,0.8133955399774672,0.6584545272512589
0.5881772877474635,0.8133955399774672,0.6584545272512589,0.6966359716491978
0.8133955399774672,0.6584545272512589,0.6966359716491978,0.6398322564954083
0.6584545272512589,0.6966359716491978,0.6398322564954083,1.0
0.6966359716491978,0.6398322564954083,1.0,0.7052800522058494
0.6398322564954083,1.0,0.7052800522058494,0.5337170205748928
1.0,0.7052800522058494,0.5337170205748928,0.8035886630303787
0.7052800522058494,0.5337170205748928,0.8035886630303787,0.4787103773475524
0.5337170205748928,0.8035886630303787,0.4787103773475524,0.6784324082691867
0.8035886630303787,0.4787103773475524,0.6784324082691867,0.3328016998979364
0.4787103773475524,0.6784324082691867,0.3328016998979364,0.4100872224802827
0.6784324082691867,0.3328016998979364,0.4100872224802827,0.6218933873841682
0.3328016998979364,0.4100872224802827,0.6218933873841682,0.684284265261356
0.4100872224802827,0.6218933873841682,0.684284265261356,0.5784004893450666
0.6218933873841682,0.684284265261356,0.5784004893450666,0.5144906021894824
0.684284265261356,0.5784004893450666,0.5144906021894824,0.465640555766613
0.5784004893450666,0.5144906021894824,0.465640555766613,0.2664795757623081
0.5144906021894824,0.465640555766613,0.2664795757623081,0.3601834193473607
0.465640555766613,0.2664795757623081,0.3601834193473607,0.3783048134346386
0.2664795757623081,0.3601834193473607,0.3783048134346386,0.5869710594839356
0.3601834193473607,0.3783048134346386,0.5869710594839356,0.4582050926430628
0.3783048134346386,0.5869710594839356,0.4582050926430628,0.1189309221365496
0.5869710594839356,0.4582050926430628,0.1189309221365496,0.4146630375186666
0.4582050926430628,0.1189309221365496,0.4146630375186666,0.2877621059417891
0.1189309221365496,0.4146630375186666,0.2877621059417891,0.2246076493396483
0.4146630375186666,0.2877621059417891,0.2246076493396483,0.4012940163681213
0.2877621059417891,0.2246076493396483,0.4012940163681213,0.4472199647886968
0.2246076493396483,0.4012940163681213,0.4472199647886968,0.4154679264071733
0.4012940163681213,0.4472199647886968,0.4154679264071733,0.1318384846329932
0.4472199647886968,0.4154679264071733,0.1318384846329932,0.1973419733584638
0.4154679264071733,0.1318384846329932,0.1973419733584638,0.2806544857041716
0.1318384846329932,0.1973419733584638,0.2806544857041716,0.3657017307081618
0.1973419733584638,0.2806544857041716,0.3657017307081618,0.1343477491492817
0.2806544857041716,0.3657017307081618,0.1343477491492817,0.1688104845689221
0.3657017307081618,0.1343477491492817,0.1688104845689221,0.0208643937139406
0.1343477491492817,0.1688104845689221,0.0208643937139406,0.0
0.1688104845689221,0.0208643937139406,0.0,0.2980959892360227
0.0208643937139406,0.0,0.2980959892360227,0.3759339429394136
0.0,0.2980959892360227,0.3759339429394136,0.1568244210163144
0.2980959892360227,0.3759339429394136,0.1568244210163144,0.3180531272347343
0.3759339429394136,0.1568244210163144,0.3180531272347343,0.2208709196031163
0.1568244210163144,0.3180531272347343,0.2208709196031163,0.0699504587228362
0.3180531272347343,0.2208709196031163,0.0699504587228362,0.2251432183177503
0.2208709196031163,0.0699504587228362,0.2251432183177503,0.4075305549604822
